store_id,baked_date,transaction_date,product_id,quantity_start_of_day,quantity_sold
3,12/23/2016,1/1/2017,69,18,3
5,12/18/2016,1/1/2017,69,18,4
3,12/28/2016,1/1/2017,70,18,1
5,12/26/2016,1/1/2017,70,18,2
3,12/31/2016,1/1/2017,71,18,2
5,12/31/2016,1/1/2017,71,18,5
8,12/31/2016,1/1/2017,71,18,2
5,12/25/2016,1/1/2017,72,48,4
8,12/25/2016,1/1/2017,72,48,3
8,12/31/2016,1/1/2017,73,18,2
3,12/20/2016,1/1/2017,74,18,1
5,12/23/2016,1/1/2017,74,18,2
3,12/31/2016,1/1/2017,75,18,4
5,12/31/2016,1/1/2017,75,18,6
3,12/25/2016,1/1/2017,76,18,1
5,12/19/2016,1/1/2017,76,18,3
8,12/23/2016,1/1/2017,76,18,3
5,12/28/2016,1/1/2017,77,48,3
8,12/28/2016,1/1/2017,77,48,2
8,12/28/2016,1/1/2017,78,18,3
3,12/28/2016,1/1/2017,79,18,5
5,12/26/2016,1/1/2017,79,18,2
8,12/26/2016,1/1/2017,79,18,2
3,12/19/2016,1/2/2017,69,18,1
5,12/25/2016,1/2/2017,69,18,2
8,12/23/2016,1/2/2017,69,18,4
3,12/26/2016,1/2/2017,70,18,3
5,12/27/2016,1/2/2017,70,18,3
8,12/26/2016,1/2/2017,70,18,3
3,1/1/2017,1/2/2017,71,18,2
5,1/1/2017,1/2/2017,71,18,1
8,1/1/2017,1/2/2017,71,18,3
3,12/28/2016,1/2/2017,72,48,5
8,12/26/2016,1/2/2017,72,48,3
3,1/1/2017,1/2/2017,73,18,4
5,1/1/2017,1/2/2017,73,18,2
8,1/1/2017,1/2/2017,73,18,1
3,12/19/2016,1/2/2017,74,18,3
5,12/20/2016,1/2/2017,74,18,3
8,12/24/2016,1/2/2017,74,18,2
3,1/1/2017,1/2/2017,75,18,4
5,1/1/2017,1/2/2017,75,18,5
8,1/1/2017,1/2/2017,75,18,1
3,12/22/2016,1/2/2017,76,18,3
5,12/20/2016,1/2/2017,76,18,1
8,12/26/2016,1/2/2017,76,18,2
3,12/29/2016,1/2/2017,77,48,4
8,12/26/2016,1/2/2017,77,48,2
3,12/29/2016,1/2/2017,78,18,3
5,12/28/2016,1/2/2017,78,18,4
8,12/27/2016,1/2/2017,78,18,2
3,12/28/2016,1/2/2017,79,18,4
5,12/28/2016,1/2/2017,79,18,4
8,12/26/2016,1/2/2017,79,18,2
3,12/27/2016,1/3/2017,69,18,3
8,12/23/2016,1/3/2017,69,18,3
3,12/29/2016,1/3/2017,70,18,2
5,12/28/2016,1/3/2017,70,18,2
8,12/29/2016,1/3/2017,70,18,1
3,1/2/2017,1/3/2017,71,18,2
5,1/2/2017,1/3/2017,71,18,3
8,1/2/2017,1/3/2017,71,18,1
3,12/29/2016,1/3/2017,72,48,3
5,12/28/2016,1/3/2017,72,48,4
8,12/27/2016,1/3/2017,72,48,3
5,1/2/2017,1/3/2017,73,18,3
8,1/2/2017,1/3/2017,73,18,4
3,12/26/2016,1/3/2017,74,18,1
8,12/22/2016,1/3/2017,74,18,3
3,1/2/2017,1/3/2017,75,18,2
5,1/2/2017,1/3/2017,75,18,3
8,1/2/2017,1/3/2017,75,18,3
3,12/27/2016,1/3/2017,76,18,3
5,12/26/2016,1/3/2017,76,18,1
8,12/26/2016,1/3/2017,76,18,4
3,12/28/2016,1/3/2017,77,48,2
5,12/28/2016,1/3/2017,77,48,3
8,12/30/2016,1/3/2017,77,48,2
5,12/29/2016,1/3/2017,78,18,4
8,12/27/2016,1/3/2017,78,18,3
3,12/30/2016,1/3/2017,79,18,2
5,12/30/2016,1/3/2017,79,18,3
8,12/29/2016,1/3/2017,79,18,2
3,12/21/2016,1/4/2017,69,18,2
5,12/24/2016,1/4/2017,69,18,2
8,12/26/2016,1/4/2017,69,18,1
3,12/30/2016,1/4/2017,70,18,2
8,12/29/2016,1/4/2017,70,18,2
3,1/3/2017,1/4/2017,71,18,6
5,1/3/2017,1/4/2017,71,18,6
8,1/3/2017,1/4/2017,71,18,1
3,12/29/2016,1/4/2017,72,48,3
5,12/31/2016,1/4/2017,72,48,3
8,12/29/2016,1/4/2017,72,48,3
3,1/3/2017,1/4/2017,73,18,3
5,1/3/2017,1/4/2017,73,18,4
3,12/24/2016,1/4/2017,74,18,2
5,12/24/2016,1/4/2017,74,18,2
8,12/28/2016,1/4/2017,74,18,3
3,1/3/2017,1/4/2017,75,18,2
8,1/3/2017,1/4/2017,75,18,1
3,12/27/2016,1/4/2017,76,18,3
5,12/26/2016,1/4/2017,76,18,2
8,12/22/2016,1/4/2017,76,18,2
3,12/31/2016,1/4/2017,77,48,2
5,12/31/2016,1/4/2017,77,48,3
8,12/28/2016,1/4/2017,77,48,2
3,12/31/2016,1/4/2017,78,18,2
5,12/28/2016,1/4/2017,78,18,2
3,12/31/2016,1/4/2017,79,18,2
5,12/29/2016,1/4/2017,79,18,2
8,12/28/2016,1/4/2017,79,18,2
3,12/28/2016,1/5/2017,69,18,1
5,12/28/2016,1/5/2017,69,18,1
8,12/26/2016,1/5/2017,69,18,1
3,12/30/2016,1/5/2017,70,18,4
5,12/29/2016,1/5/2017,70,18,2
8,12/29/2016,1/5/2017,70,18,5
